Experiment Name:,,Exp_20240715_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Well-B02,A2,5,0.58,Beads Population=#### Beads Count=1 Sample Volume=1μL,62325,52789,38015,14774,14090,161,7,21,36451,1536,13847,243,523,14251,0,0,4418,4237.8,3366.6,6479.3,3455.9,45395.6,8799.3,7215.5,3279.1,5367.9,3423.4,5310.3,75951.7,3929.7,####,####,7769.9,6748.2,2363.8,18029.6,2171.5,56362.1,37751.7,11662.3,1788.9,15718.4,2063.2,8341.8,433458,2783.7,####,####,2136.5,1954.7,1162,3994.6,2747.6,72421.6,4038.9,11224.2,1148,1342.5,2151,36746.5,16523.5,3534.8,####,####,1683.3,1546.3,274.1,4820,2026.6,253889.9,432.1,415.5,273.1,294.8,1474.3,33495.8,3403.3,4872,####,####,201656.8,179700.7,155539.2,241870.5,127567.5,2224030.8,2477484.3,873574.9,130209.1,736252.2,121117.2,495127.4,2711090.5,151252.2,####,####,441.2,411.8,312.9,666.3,415.1,14870.5,1004.6,1287.1,312.5,306.8,396.9,1454.9,3059.9,578.4,####,####,467.5,456.6,361.4,701.4,544.4,14623.4,428,402.4,361.4,360.9,365.9,10716.7,644.6,703.5,####,####,604.7,560,295.8,1239.9,583,59420.7,364.6,307.6,295.9,292.4,455.6,7844,1028.6,1247.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,830.5,884.22,506.56,196.87,187.75,2.15,0.09,0.28,485.72,20.47,184.52,3.24,6.97,189.9,0,0
02-Well-B03,A2,25,0.69,Beads Population=#### Beads Count=1 Sample Volume=1μL,60243,54702,40276,14426,13421,140,13,23,35206,5034,13184,237,865,13561,0,0,5017.1,4478.1,3499.2,7211,3443.9,51928.8,11498.3,62118.3,3306.7,4557.2,3414.7,5065,58422.4,3944.4,####,####,9187.2,7514.8,3216.4,19515.2,2399.9,63162.2,48246.7,12496.5,1865.3,12507,2294.3,8274.4,278005.6,3027.2,####,####,2267.1,1933.6,1083.3,4307.7,2764.8,103014.1,7237.2,8559.5,1091.9,973,1938.6,48721.9,12271.4,3799.7,####,####,1647.7,1538.1,276.8,5059.5,1895.6,300956.5,496.3,782.1,273.3,298.3,1581.2,19382.3,6258.1,4983,####,####,278542.4,241345.5,217578.1,307701.8,147918.6,2482917,2569587.3,985207.1,142632.2,732141.6,140680.8,550550.1,2434777.8,172024.5,####,####,453.6,419.1,309.6,724.9,410.6,16486.5,1882.4,1867,310.6,291.2,407,606.8,3050.2,576.5,####,####,453.6,451.4,361.3,703.1,540,16877.9,427.1,975.8,361.5,357.1,367.8,10118.9,615.1,708.7,####,####,578.8,548.4,296.4,1252.1,558.5,67255.6,295.3,572.5,296.9,291.3,493.2,4193.4,1329.7,1247.1,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,803.1,916.75,536.92,192.31,178.91,1.87,0.17,0.31,469.33,67.11,175.76,3.16,11.53,180.78,0,0
02-Well-B04,A2,45,0.58,Beads Population=#### Beads Count=1 Sample Volume=1μL,60230,51193,36792,14401,13745,186,23,28,35161,1580,13450,295,470,13931,0,0,4570.2,4092.9,3320,6067.6,3409.3,38523.4,11855.1,7390.1,3268.3,4272.2,3379.1,4782.5,70965.5,3878.1,####,####,7476.3,5431.3,2226.1,13619.9,2205.5,45164.1,32009.2,13541.6,1780.8,11502.2,2074.3,8188.3,334947.5,2779.1,####,####,2113.1,1830.5,1042.4,3844.1,2780.7,49843.1,14076.8,7438.9,1017.4,1295.8,1871.7,44222.5,16738.5,3409.1,####,####,1737.2,1603.3,273.1,5001.9,1938.4,236378,550.2,406.9,271.7,296.6,1533.3,20408.8,3028,5068.5,####,####,199046.7,178625.1,154497.8,240266.3,127113.4,2012324,1960009,980299.5,129577.8,668146.1,118425.2,523232.4,2848104.3,152283.8,####,####,439.3,413.1,311.4,673.2,396.9,15288.7,2351,1014.8,310.1,297.1,391.5,645.9,2968,595.8,####,####,462.5,441.2,362.2,642.9,597.2,4073.3,398.6,373.6,362.3,360.8,367.1,11087.8,619.5,643.6,####,####,618.1,588.7,297.8,1331.8,562,59296.2,336.7,299.7,298,293.9,469.3,4790.9,905.4,1346.2,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,802.8,857.78,490.4,191.95,183.21,2.48,0.31,0.37,468.66,21.06,179.27,3.93,6.26,185.69,0,0
02-Well-B05,A2,75,2.44,Beads Population=#### Beads Count=1 Sample Volume=1μL,62428,53268,39776,13492,12758,260,10,29,38067,1670,11752,1006,474,13018,0,0,4723,4410,3333.8,7582.8,3452,46634.2,13930.8,6875.7,3190.9,6466.1,3362,4503,97343.9,4314.4,####,####,9030.3,7609.6,2798.6,21793.1,2788.3,62885.3,46475.9,11084.4,1793.3,25307.8,2380,7557.6,510778.7,3988.6,####,####,2375.3,2210.5,1132.2,5389.5,3962.6,54703.7,12567.6,9033,1114,1340.5,1769.8,29578.6,16745.6,4976,####,####,3293.6,3244.5,272.5,12006.5,4808.4,354345.1,592.4,421.3,271.4,291.6,2720.8,29195.7,17969,11789.4,####,####,209206.1,185466.9,155020.4,275227,146472.2,2109892.5,3004305.3,773203.8,126400.4,779605.1,119604.1,460342.4,2734384,185686.3,####,####,526.3,467.9,307.4,941.3,447.1,19448.3,3008.4,1084.2,306.8,291.8,411.3,865.1,4090.2,826.6,####,####,760,758.7,363.5,1923.7,1683.3,15306.5,361.3,398.2,363.5,362.8,369.5,17030.7,1053.4,1955.4,####,####,1035.9,959.4,297.8,2910,1232.9,83334.3,293.4,314.8,298,292.2,649.6,8047.6,3935.3,2872.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,831.72,892.03,529.93,179.75,169.97,3.46,0.13,0.39,507.16,22.25,156.57,13.4,6.32,173.44,0,0
02-Well-B06,A2,100,0.59,Beads Population=#### Beads Count=1 Sample Volume=1μL,33310,32133,25385,6748,6158,226,4,39,24522,820,6082,76,364,6384,0,0,4591.5,4112.8,3146.9,7746.5,3673.9,42050.3,17868.1,5840.5,3059.7,5553.6,3632.4,6994,55346.7,5032.5,####,####,8153.7,6082.7,2433.5,19810.3,4834.9,47595.1,29705.2,8126.1,1678.9,24597.3,4720.6,13983.9,255906.3,6348.7,####,####,2783.1,2207.6,1101.7,6367.9,4099.7,24063.8,9892.5,3829.3,1081.3,1537.5,2054.2,167798.4,33754,4806.5,####,####,6597.6,6467.3,272.1,29772.6,12437.5,533876.1,508,349,270.8,306.3,11343.4,99994.6,10053,30897,####,####,240087.7,200336.2,149136,392943.9,183446.1,1515131.6,2094492.4,567443.1,123521.7,885744.4,175379,829030.6,3240396.5,230589.1,####,####,538.4,514.6,316.2,1261.2,643.5,16233,2028.8,1600.7,314.6,292.1,628.6,1840.2,2414.6,1195.4,####,####,530.8,522.3,364,1118,943.5,6204.4,363.9,374,363.9,366.8,382.3,45851.3,912.7,1129.7,####,####,1262.5,1255.8,294,4874.1,1907.7,90988.4,289.7,326,294,291.2,1718.2,17070.4,1592.1,5061.2,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,444.09,538.57,338.43,89.96,82.1,3.01,0.05,0.52,326.93,10.93,81.09,1.01,4.85,85.11,0,0
02-Well-B07,A2,125,0.66,Beads Population=#### Beads Count=1 Sample Volume=1μL,32792,27751,24842,2909,2112,124,21,69,22505,2247,2096,16,673,2236,0,0,6389.3,5191.1,3352.5,20892.4,5013.5,54096.6,10514.6,5784.2,3072.6,6013.7,4990.4,8042,64605.5,7735.5,####,####,17503.6,13340.5,4262.2,90865.9,10383.5,56696.6,29153.2,9304.2,1698.2,29554.6,10305.9,20543.4,349730.6,12951.8,####,####,2582.2,2075.8,1341.5,8346.1,4818,18343,7442.7,4025.5,1161.7,3002.8,1719.4,410729.1,17576.1,5568,####,####,5580.6,5655.9,279,51572.9,29591.2,685722.8,546.6,369.3,273,334.1,29229,77040.4,3713.7,65977.8,####,####,395681.3,317086,230320.4,1058038.4,295778.3,1784343.3,2182689.3,663872.9,126220.7,1241378.9,287685.2,1355972.9,3316331.8,378328.4,####,####,564.9,525.1,319.4,2281.4,1143.4,18522.4,2006.5,1301.8,316.2,305.9,1141.6,1380.9,2859.9,2107.2,####,####,439.9,429.8,363.4,996.7,650.9,8090.9,403.5,383.3,363.6,360.5,408.2,32439.9,775,1063.5,####,####,1063,1039.3,295.1,7395.3,3627.8,106279.6,321,331.6,294.8,296.4,3556.5,12974.6,999,9320.5,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,437.02,464.91,331.07,38.77,28.15,1.65,0.28,0.92,299.93,29.95,27.93,0.21,8.97,29.8,0,0
02-Well-B08,A2,150,0.84,Beads Population=#### Beads Count=1 Sample Volume=1μL,20855,17185,16169,1016,750,57,7,9,15379,774,735,15,209,807,0,0,6303.9,5054.8,3305.8,32888.6,5667.9,43514.6,14065.4,5427.6,3055.4,8158.3,5587.3,9619,127672.6,8341.1,####,####,14264,10779,3133,132459.7,12913.8,47960.7,30954.2,9024.3,1717.9,30930.4,12410.4,37578.6,584497.6,15389.2,####,####,2707.9,2044.4,965.8,19209.6,20679,5214.2,13168.6,6511.2,947.9,1145.6,1468,962020.4,17753.6,19586.7,####,####,3659.4,3484.8,270.6,54636.1,33933.8,484146.5,478.8,365.5,269.5,288.9,33778.6,41542.2,11787.3,65733.3,####,####,328840,239752.5,184479.6,1119386.5,371886.2,1535078.5,2196751.5,597782.3,128196.5,1279792.8,328431.4,2501171.8,3688433.5,454044.8,####,####,560.7,462.6,316.4,2788,1295.8,13006,3187.5,1064.2,315.4,303.1,1299.9,1095,5356.1,2122.9,####,####,409.2,388.2,364.5,764.6,637.4,510.4,357.2,365.7,364.4,366.3,412,11681.8,1290.7,628.4,####,####,827.4,713.6,295.6,7364.8,3883.2,68056,316.2,333.4,295.5,297.2,3801.1,7904.4,3306.6,8415.8,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,277.99,287.97,215.53,13.54,10,0.76,0.09,0.12,205,10.32,9.8,0.2,2.79,10.76,0,0
02-Well-B09,A2,175,0.8,Beads Population=#### Beads Count=1 Sample Volume=1μL,15831,12842,12393,449,166,19,9,9,11690,685,159,7,264,185,0,0,7550.6,6117.5,3461.7,79421.6,5361.6,44681.6,13299.9,5929.7,3175.1,8191.2,5291.4,6954.4,128489.9,9399.8,####,####,22367.4,18308.3,3941.3,414856.1,11412.4,61624.7,35935.9,9379.1,1748.9,40864.4,11175.9,16784.2,693958.5,16569.4,####,####,2460.3,1842.6,1048.2,23768.1,27597.5,24742.7,10102.8,3896.5,1036.9,1085,1704.6,615736,21290.1,27304.3,####,####,1756.8,1521.6,272.9,35986.8,27241.1,478872.2,427.1,348.8,270.8,305.2,27298,25948.1,9611.6,73624.8,####,####,396274.8,287462.1,201569.8,2658203.5,348745.5,1921727.1,2479522.8,598417.9,129991.3,1387963.8,315074.2,1113566.1,4163366.8,510295,####,####,611.5,456.9,320.1,4234.5,1097.4,13045.1,3526.9,1351,317.1,315,1118,629.1,5573,2324.5,####,####,418.1,384.8,364.6,941.8,612.6,1981.8,419.8,386.3,364.4,366.6,422,4941.8,1074,753.2,####,####,604.6,498.3,296,6082.8,3131.8,72248.2,363.7,364,296,294,3115.8,3496,3176.5,10230.3,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,210.97,215.13,165.15,5.98,2.21,0.25,0.12,0.12,155.79,9.13,2.12,0.09,3.52,2.47,0,0
02-Well-B10,A2,250,0.88,Beads Population=#### Beads Count=1 Sample Volume=1μL,14576,11354,10903,451,139,8,7,12,10165,719,81,58,304,147,0,0,8366.5,5833.9,3503.5,62172.4,5882.1,35354.4,12468.7,46209,3071.7,8808.6,4950.1,7183.7,88616.1,7486.1,####,####,20289.6,13852.8,3370.7,267259.8,15958.4,37822.4,35302.1,8092.5,1801.5,25164.8,9081.6,25562.2,388202,17148.3,####,####,5854.9,5533,963.9,115989.9,306880.3,307997.7,12209.5,7376.6,943.4,1037.2,2071.4,732561.8,23655,306941.1,####,####,1472.7,942.3,272.6,17132.5,24735.3,326630,491.9,374.5,269.6,310.1,22416.2,27974.1,5511.6,41164.9,####,####,514776.2,345053,222763.1,3301433,918710.3,2128155.3,2452062.5,578501.9,132568.6,1470263.5,280530.6,1809961.3,4421777.5,984530.4,####,####,781.5,455.4,330.5,3474.2,801.9,9024.6,2088.1,1324.4,322.1,416.4,927.3,626.8,4549.9,1249.4,####,####,455.1,403.2,365.3,1318.9,1364.7,2198.3,387.6,424.5,365.5,360.7,388.2,2728.5,1274.8,1410.1,####,####,689,381.1,296.2,2433.8,2321.1,46100.9,327.4,322.2,296,298.1,2509.1,2058.5,1336.2,4703.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,194.25,190.2,145.3,6.01,1.85,0.11,0.09,0.16,135.46,9.58,1.08,0.77,4.05,1.96,0,0
02-Well-B11,stain,-999,0.34,Beads Population=#### Beads Count=1 Sample Volume=1μL,10615,8459,7124,1335,10,8,8,3,316,6797,7,3,1317,18,0,0,13292,11915.4,6859.8,38893.9,5048.9,120145.5,54586.3,8369.4,3990.5,6936.4,3396.8,8904,38657.3,56203,####,####,38835.1,33823.8,16189.1,127928.2,9289.6,218051.7,63894.4,10670.9,2088.8,16790.9,4623.4,20177.6,128281.5,102072.8,####,####,2952.7,2320.8,514.5,11960,304594.5,10438,641.6,918.6,508.9,514.4,16011.8,977954.1,9747.3,173858.3,####,####,1696.5,1314.8,294.7,6758.2,11501,450053.8,323.9,269.2,277.9,295.4,2408,32717.8,4029.4,206413.3,####,####,1405384.1,1385980.6,981404,3544934.5,739157.9,5122079.5,3507501,642422.8,160039.5,1016766.6,384590.3,1566482.3,3556658.5,2687123,####,####,2188.6,2103.3,696.7,9609,1492.6,11170.5,1907.3,971.7,364.8,710.6,1241.7,2078,9661.1,5793.9,####,####,429.8,412.7,358.9,699.9,1425.5,1195.3,368.4,329.5,361.1,358.8,479.4,3633.2,691.4,1323.2,####,####,978.8,447.9,290.5,1288,1338.9,95260.9,306,328.7,282,290.8,769.8,2666.7,716.8,43082,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,141.42,141.65,94.91,17.79,0.13,0.11,0.11,0.04,4.21,90.55,0.09,0.04,17.55,0.24,0,0
02-Well-B12,blank,-999,0.11,Beads Population=#### Beads Count=1 Sample Volume=1μL,4564,3316,2743,573,22,9,0,1,212,2530,10,12,542,31,0,0,20341.4,18158.1,9879.4,57789.2,5851,162884.1,####,9074.9,3154.1,10443.2,3858.2,7511.6,58152.3,51441.3,####,####,51696.8,49346.4,21996.5,180272.7,17705,280208,####,17315.2,1584.7,23708.8,4069.9,29067.7,185212,93915.6,####,####,5173.4,4505.5,675,22842.3,379196.6,30625.8,####,746.4,630.9,678.7,52540,651410.4,8248.5,277998.6,####,####,2815.9,2176.3,317,11077.3,18373.6,435978.9,####,218.9,255.4,322.2,13929.3,22077.2,3725.6,139613.8,####,####,1802925.8,1789655,1396952.6,3669555.3,1161584.3,5581670.5,####,840923.8,123445.4,1503885.3,286854.1,1890526.1,3739603.8,2444835.3,####,####,671.6,442.2,305.8,1095.2,834.9,10367.7,####,449.4,358.9,301.3,679.9,964,951.8,3602.5,####,####,515.1,475.9,361.1,1025.8,1961.5,2481.2,####,524.5,355.4,361.5,438.4,3230.8,963.7,2112.4,####,####,986.8,671.6,291.6,2490.7,3041.2,92793,####,413.8,288.6,291.8,3435.2,2712.8,968.9,29098.2,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,60.83,55.56,36.56,7.64,0.29,0.12,0,0.01,2.83,33.72,0.13,0.16,7.22,0.41,0,0
02-Well-C01,B1,,0.46,Beads Population=#### Beads Count=1 Sample Volume=1μL,46938,39628,32089,7539,6891,183,2,23,30989,1075,6864,27,465,7074,0,0,5231.4,4660.9,3322,10360,3808,51053.4,7092.6,5212.5,3130.6,8792.4,3799.6,5938.4,91441,5030.2,####,####,11255.5,9251.7,2423.9,38313.7,5282.7,52430.1,44338.1,7123.3,1406.9,31560.1,5245.1,14851.1,522255,6502.4,####,####,3602.2,3096.7,1918.6,8110.9,5717,60305.6,18558.6,9417.9,1923.4,1588.5,5108.4,160441,23045.7,7129.2,####,####,5333.6,5303.3,281.6,26677.6,11539.5,651487.3,516.8,425.2,280.8,301.9,11322,66828,5121.6,28094.5,####,####,228330.1,201934.8,144888.5,444746.9,222365,1713171,3218309.3,480975,104097.8,1307852,219705.7,898425.1,3241116.8,260931.2,####,####,533.6,500.8,311.7,1305.5,687.7,20077.4,2484.6,1124.8,311.2,305.1,685.2,1326.7,3073.8,1189.3,####,####,433.6,415.6,360.8,648.9,501.2,6361,382.7,412.7,361,354.6,388.6,29114.4,590.1,652.8,####,####,1057.2,1036.9,294.9,4195.4,1432.9,116067.8,350.9,331.2,294.9,293.1,1400.3,9736.5,1105.8,4398.5,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,625.61,663.97,427.7,100.48,91.85,2.44,0.03,0.31,413.04,14.33,91.49,0.36,6.2,94.29,0,0
02-Well-C02,B1,5,0.55,Beads Population=#### Beads Count=1 Sample Volume=1μL,58387,49423,38101,11322,10688,114,13,49,36709,1330,10545,143,520,10802,0,0,4606.5,4218.1,3369.7,7073.4,3411.4,46244.7,10911,7932.4,3271.9,5826.6,3386.8,5220.1,73754.7,3863.4,####,####,8145.8,6743.1,2552.1,20846.8,1669.1,54854.2,39860.2,12452.3,1731.3,24475.6,1551.1,10370.4,407565.5,2230.4,####,####,2614.3,2429,1258.8,6367.2,4257.1,135658.5,7300.6,7267.7,1244.6,1369.4,3053.9,92984.5,21392.9,5643.9,####,####,1201,1151,286.9,4058.8,1313.9,259490.6,490.4,403.7,286.6,288.9,1049,20850.2,4478.7,4038.6,####,####,198565.3,170403,146746.3,250013,99364.4,2445145.8,2698189.8,906848,123708.1,729674.9,91828.4,655083.4,2865180.8,124120.9,####,####,411.3,375.5,312.8,586.5,367.5,10872.4,1404.6,1426.5,311.2,304.5,364,627.1,2833,478.4,####,####,446,444.5,362.4,721,463.7,24270.8,377.8,381.4,362.5,359.9,365.8,7680.2,846.3,714.9,####,####,464.8,446.5,297.1,949.3,410.7,49393.7,317.4,298.5,297.2,292.7,366.4,3681.6,1399.3,927.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,778.39,828.33,507.95,150.94,142.49,1.52,0.17,0.65,489.39,17.73,140.58,1.91,6.93,144.01,0,0
02-Well-C03,B1,25,0.57,Beads Population=#### Beads Count=1 Sample Volume=1μL,46203,43563,33331,10232,9623,110,7,30,31940,1354,9499,124,499,9733,0,0,4515.7,4067.1,3373.8,6325.5,3362.6,40772.2,9006.5,6765.4,3275.1,5597.4,3354.8,3959.2,55869.4,3785.4,####,####,7025.5,4958.7,2472.5,13057.8,1645.1,46927.2,57911.5,11989.4,1727.7,19544.5,1564.9,7790.6,225679.5,2156.9,####,####,2734,2112.6,1309.1,4730,3254.6,80873.8,931.7,8098,1295.9,1471.1,2978.6,24397.3,16396.6,4131.9,####,####,1302,1060.6,288.5,3576,1258.3,206415.2,454.9,456.9,288,294.8,1073,15448.7,3558.7,3576.9,####,####,215012.1,173656.4,153040.6,240812.8,97823,2162024.3,2934481,826244,123482.7,820995.6,92044.3,540498.8,2574796.3,121152.1,####,####,407.1,369.6,311.2,559.9,362.8,10225.6,1327.2,1277.7,310.8,293.9,360.7,528.6,2230.3,474.3,####,####,435.6,414.3,360.9,588.1,469,11215.7,376,409.7,361,357.4,367.1,8272.2,541.8,590.5,####,####,482,432.5,298.5,869,411.2,39663.6,323.2,307,298.6,295.6,372.4,3390.7,1143.8,854.9,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,615.43,729.33,443.97,136.29,128.18,1.47,0.09,0.4,425.45,18.04,126.53,1.65,6.65,129.65,0,0
02-Well-C04,B1,45,0.66,Beads Population=#### Beads Count=1 Sample Volume=1μL,59480,50537,39436,11101,10489,99,7,25,37945,1459,10308,181,513,10588,0,0,4662.6,4329.4,3309.4,7953,3289.5,48692.7,9265.4,6638.5,3234.3,5176.6,3272.5,4256.3,95444.1,3714,####,####,8302.6,6995.5,2356.3,23476.1,1627.1,55656.4,51917,11475.2,1706,18875.5,1529.4,7195.2,463999.3,2132.3,####,####,1990.7,1813.2,1157.9,4141,2673.2,104997.5,3799,9122.7,1145.3,1338.7,2441.3,15879.8,14689.3,3629.9,####,####,1108.4,1079.3,289.5,3885.2,1230.9,284764,472.5,422,289.1,297.3,1041.4,12024.4,3950.9,3882,####,####,187171.7,166317.8,144677.7,243193.4,97659.6,2439800,2578097.8,823886.8,122079.4,709091.7,90727.6,492439.1,2794928,119559.1,####,####,397.4,375.7,311.6,603.4,360.1,13312,1312.1,977.3,311.7,291.8,358.4,459.9,3125,481.2,####,####,438.8,430.8,362.4,673.9,472.5,21108.3,387.4,363.8,362.5,360.1,367.9,6428.4,849.1,665.4,####,####,460.9,442.5,298.2,954.9,417.9,56646.6,339.2,311.3,298.3,296.5,378.3,2675,1187.7,943.7,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,792.48,846.35,525.42,147.9,139.75,1.32,0.09,0.33,505.56,19.44,137.34,2.41,6.83,141.07,0,0
02-Well-C05,B1,75,0.91,Beads Population=#### Beads Count=1 Sample Volume=1μL,43035,37581,26807,10774,10300,101,6,14,25932,855,10228,72,373,10401,0,0,5265.2,4688.3,3233.8,8307.3,3339.2,53104.3,21227.3,4432.5,3121.4,6495.3,3324.5,5435.4,133365.4,3822.5,####,####,11523.5,9895.1,2337.3,28699.8,2693.9,60148,40063.5,8516,1582.4,24867.2,2637,10765.5,738312.1,3251.8,####,####,2317.4,1991.1,1242,3855,3318.8,21217.4,9061.5,7559.9,1230.2,1443.5,2721.3,88203.7,13960.3,3492.6,####,####,3058.5,2894.7,273.7,9416,4615.6,520788.3,445.1,360.7,272.7,303.3,4112.1,76134.3,3507.2,9627.9,####,####,225995.4,180389.8,148076.1,260790.1,123321.4,2399444.3,2785953.3,571103,116507.6,1080104.9,119613.9,649996.1,3477742.5,145423.9,####,####,490.3,445,316.9,763.7,452.7,22177.5,2051.7,1148.9,316.5,301.6,446.2,1380.9,3552,663.7,####,####,454.1,444.8,362.9,648.6,645.3,653.5,400.1,424.9,363.2,352,374.4,39125,737.4,645.4,####,####,797.6,740.4,296.8,1844.2,772.5,114290.3,330.1,255.8,296.8,297.9,694,11917.3,989.9,1874.8,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,573.24,629.19,357.08,143.51,137.2,1.35,0.08,0.19,345.43,11.39,136.24,0.96,4.97,138.55,0,0
02-Well-C06,B1,100,0.63,Beads Population=#### Beads Count=1 Sample Volume=1μL,32933,28336,22964,5372,4907,160,0,9,22318,637,4891,16,305,5067,0,0,5350.9,4434.9,3145.7,9945.9,3907.2,44231.6,####,4218.9,3073.3,5669.1,3896.5,7171.4,89113.8,5180.5,####,####,10252.3,7461.8,2092,30416.4,6363.1,53127.5,####,8599.1,1485.7,23240.5,6339.4,13624.9,405483.4,7839.8,####,####,2114,1618.7,1139.4,3667.2,2483.8,20538.5,####,9012.5,1135.8,1157.1,2057.3,132862,13855.7,3053.9,####,####,5439.3,5449,271.7,27580.5,13447.4,502576.4,####,360.5,270.8,300.8,13193.5,91069.8,5782.2,28892.6,####,####,262388.7,197811.4,135927.6,462349.5,245460.4,1758673.8,####,555810.4,109427.9,1058441.4,243928.6,713721.6,3271735.8,293243,####,####,566.7,500.8,310,1316.4,700.2,15132.6,####,1252.4,309.9,300.8,696.6,1785.6,3982.9,1155.9,####,####,419.4,406.9,362.1,598.5,545.8,1964.4,####,371.7,362.2,357.3,401.5,44642.5,730.8,590.6,####,####,1049.1,984.4,293.8,3936.3,1636.2,77664.9,####,277.7,293.9,291.8,1595.4,14100.6,2265,4036.9,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,439.05,474.91,306.15,71.62,65.42,2.13,0,0.12,297.53,8.49,65.2,0.21,4.07,67.55,0,0
