site,depth,hbac_rel_abun,pico_euk_rel_abun,syn_rel_abun,pro_rel_abun
A,100,0.5990820875950695,0.005835300288486756,0.002006294256490952,0.16205087857330186
A,100,0.6070334404070037,0.005588874241045731,0.0018753365393542156,0.15056538611508252
A,107,0.6055687070228836,0.009243602750535453,0.003118776537782287,0.14139706158644272
A,125,0.16011732387466435,0.001358030050290519,9.301575686921364e-5,0.022962489845779876
A,125,0.6451356176464261,0.003549074014325353,4.51700329095954e-4,0.060076143769761885
A,150,0.3117595301917293,7.980192752348019e-4,3.2739252317325203e-4,0.01311616295962841
A,150,0.7118797096919818,0.002639163801784908,6.945167899433969e-4,0.03403132270722645
A,175,0.3530930322331596,3.860258637328701e-4,1.2063308241652191e-4,0.004535803898861223
A,175,0.7241667828754706,0.0011620880397898946,4.18351694324362e-4,0.009854506577418307
A,200,0.46884180693325966,2.765008813465593e-4,0.0010714409152179174,0.0033180105761587116
A,25,0.5835762276454896,0.0022231004841418833,0.002186048809406185,0.16863452228040707
A,25,0.511949822743387,0.0020398145623125173,0.003446959367330243,0.1917207526588492
A,250,0.7121976866456362,5.783385909568876e-4,0.0040483701366982126,0.005678233438485805
A,45,0.11159231607195047,4.3175598480218937e-4,7.240215745144406e-4,0.03514493716289821
A,45,0.5463638695236541,0.002891184219730001,0.004581594348201171,0.20899298188346666
A,5,0.5825662907650107,0.00208473026516306,0.0023163669612922887,0.17497104541298386
A,5,0.5493203049014951,0.0024315215670308293,0.0036642464545022734,0.20868109746443195
A,75,0.30817388962855474,8.975720675572575e-4,0.0012491211273505168,0.1080826364683531
A,75,0.5685459009226148,0.0038787933141262066,0.015021916303263345,0.17552100265686132
B,100,0.62649765218673,0.0044850603272198935,4.4218904634562336e-4,0.13728917057968879
B,100,0.6570999211667323,0.005000985415845486,1.724477729601892e-4,0.10447871501773748
B,125,0.591421143847487,0.002193457538994801,4.061958405545927e-4,0.037045060658578856
B,125,0.6868637311419109,0.0025450754323561877,1.5331779712989083e-4,0.04102784251195879
B,150,0.564509447790205,0.0013064397922442086,1.593219258834401e-4,0.02542777937099704
B,150,0.719983154348284,0.0013476521372920616,1.2634238787113077e-4,0.016635081069698885
B,175,0.7357770851746754,9.303623761455087e-4,0,0.01283900079080802
B,175,0.7304377465063057,7.790816574962263e-4,3.4084822515459905e-4,0.010517602376199055
B,25,0.5833436167441349,0.0020155485171321624,0.002262350376372835,0.1734879958317908
B,25,0.5599301604921141,0.0020466213403635353,0.0020003700106378058,0.17637944590906987
B,250,0.6564810853755424,6.111348774674571e-5,1.8334046324023712e-4,0.003727922752551488
B,250,0.6949666089537472,1.855058125154588e-4,4.3284689586940397e-4,0.0031535988127628
B,45,0.5973415253736634,0.0015596384474508183,0.0028475217108761153,0.1622732911915874
B,45,0.5545342313380841,0.0016501448460475975,0.0026646783439879724,0.2071726295974869
B,5,0.5908152547897576,0.001835017444738208,0.0023058442891118274,0.16971496867190614
B,5,0.5759618149404796,0.0024153200299039624,0.0018517453562597044,0.1825751912128357
B,75,0.549007454028195,0.002145615791732227,0.0015257712296762502,0.21653236701155454
B,75,0.5190679066867564,0.001623629656569855,0.0019093884761261495,0.25046760534109214
B,88,0.5765574740000289,0.004197498809987451,0.002639664200095201,0.18307441545141143
B,93,0.6220762986279501,0.003674864828230191,5.421931713782249e-4,0.13779237013720497
C,100,0.5200037768425596,0.0015242257472752776,0.0016186468112657816,0.24554872126901908
C,100,0.5782366549567304,0.0020563790592065803,8.39688115842687e-4,0.18999228857852798
C,120,0.6564190900800487,0.005390617083797751,1.0132738879319081e-4,0.10771101428716182
C,125,0.6384887144259077,0.004062806673209028,8.439646712463199e-4,0.12196270853778214
C,125,0.6638175171206425,0.0049945934812831464,1.2872663611554502e-4,0.09857885793728438
C,132,0.6466752892400914,0.0050495207384702616,5.138108821601318e-4,0.11169185521163694
C,150,0.7083759263991821,0.0024278047533861486,2.2361359570661896e-4,0.04392409915665729
C,150,0.7211174820056119,0.00174860721402139,3.659875564230816e-4,0.029035012809564473
C,175,0.7240763876494735,0.0010708548991611637,0.0010262359450294485,0.009682313046582187
C,175,0.7355227195080286,6.405876323881107e-4,6.405876323881107e-4,0.00653399385035873
C,25,0.5785984395194103,0.0015197932123881097,0.0011368531903690584,0.1786893877746398
C,25,0.5768220497984579,0.00243303112101001,0.0011015215522980645,0.1738104172466803
C,250,0.710814468503937,4.306102362204725e-4,0.0010457677165354332,0.00344488188976378
C,250,0.7082003437269826,1.8413945494721336e-4,1.8413945494721336e-4,0.0034986496439970535
C,45,0.5659553661858694,0.0021886168639914318,0.001594896331738437,0.1950546572137045
C,45,0.5752033822304785,0.0020284841884995624,0.003224222236457199,0.19200136655776912
C,5,0.5777068356849083,0.0016311503105011127,0.00107189877547216,0.15480781554020204
C,5,0.595421591141356,0.002007863128659541,0.001442775900833203,0.15817633126134684
C,75,0.5642792612979809,0.0015021955165241505,0.0022165262516545157,0.20035926634031553
C,75,0.5398478067437814,0.0014874035511759785,0.0016600486062231903,0.22157000756982165
DEEP,100,0.560678275368474,0.001557264876598556,0.0018404039450710206,0.20722633822534725
DEEP,1000,0.6510982658959538,0,0.003468208092485549,0.013179190751445085
DEEP,125,0.6538248847926267,0.004516129032258064,0.0016820276497695851,0.10463133640552995
DEEP,150,0.6993098438067563,0.003341808935706502,3.269160915365056e-4,0.05470395931710861
DEEP,1500,0.33761467889908253,1.6680567139282736e-4,0.003836530442035029,0.022852376980817348
DEEP,175,0.7316197706081361,0.0012789834144731414,2.0628764749566796e-4,0.019927386748081526
DEEP,25,0.5979505069224899,0.002422568649539106,0.003900335525757961,0.16187603716220306
DEEP,250,0.7112560054907344,2.745367192862046e-4,0.002539464653397392,0.004049416609471517
DEEP,300,0.6633710950909715,2.0597322348094745e-4,3.4328870580157915e-4,0.004943357363542739
DEEP,45,0.6270151640731705,0.001961173435438871,0.0048795862857943335,0.12852690192965457
DEEP,5,0.5949444391225214,0.0020595842513650734,0.0032450426286042724,0.1580371683111409
DEEP,500,0.6070370016253944,2.868343053829238e-4,7.648914810211301e-4,0.0052586289320202696
DEEP,75,0.5702168102168103,0.0019839619839619837,0.002993762993762994,0.19572319572319571
DEEP,750,0.6357639507933677,8.914244963451596e-4,0.005526831877339989,0.012836512747370297
DEEP,DCM,0.6241154879479321,0.004692170885836455,7.000416240965679e-4,0.13673515722556476
